Data;a_vista_real;a_vista_dolar
19/10/2018;65,9;17,77
22/10/2018;65,71;17,81
23/10/2018;64,59;17,47
24/10/2018;65,67;17,59
25/10/2018;66,72;18,03
26/10/2018;66,69;18,28
29/10/2018;66,66;17,97
30/10/2018;65,98;17,86
31/10/2018;65,89;17,77
01/11/2018;66,33;17,99
05/11/2018;66,32;17,83
06/11/2018;66,57;17,73
07/11/2018;67,34;18
08/11/2018;67,72;18,09
09/11/2018;67,96;18,19
12/11/2018;67;17,87
13/11/2018;67,02;17,54
14/11/2018;67,26;17,76
16/11/2018;67,11;17,96
19/11/2018;67,75;18,01
21/11/2018;67,79;17,91
22/11/2018;68,22;17,93
23/11/2018;68,12;17,85
26/11/2018;69,15;17,71
27/11/2018;68,93;17,73
28/11/2018;69;17,96
29/11/2018;68,91;17,88
30/11/2018;68,53;17,76
03/12/2018;69,35;18,11
04/12/2018;68,79;17,82
05/12/2018;68,54;17,72
06/12/2018;68,34;17,57
07/12/2018;68,46;17,64
10/12/2018;68,4;17,44
11/12/2018;68,23;17,42
12/12/2018;68,76;17,86
13/12/2018;68,51;17,67
14/12/2018;68,75;17,61
17/12/2018;68,8;17,66
18/12/2018;68,25;17,5
19/12/2018;68,61;17,71
20/12/2018;68,82;17,87
21/12/2018;68,62;17,63
26/12/2018;68,59;17,5
27/12/2018;68,21;17,5
28/12/2018;68,2;17,6
02/01/2019;68,18;17,87
03/01/2019;68,5;18,24
04/01/2019;68,45;18,43
07/01/2019;68,84;18,46
08/01/2019;68,78;18,54
09/01/2019;68,72;18,65
10/01/2019;68,5;18,42
11/01/2019;68,63;18,47
14/01/2019;68,62;18,57
15/01/2019;68,86;18,46
16/01/2019;69,05;18,52
17/01/2019;68,33;18,26
18/01/2019;69,04;18,38
21/01/2019;68,97;18,34
22/01/2019;68,99;18,17
23/01/2019;69,05;18,33
24/01/2019;68,66;18,21
25/01/2019;69,41;18,45
28/01/2019;69,07;18,35
29/01/2019;69,15;18,57
30/01/2019;69,33;18,62
31/01/2019;69,18;18,95
01/02/2019;69,73;19,05
04/02/2019;69,92;19,05
05/02/2019;70,27;19,18
06/02/2019;69,7;18,83
07/02/2019;69,96;18,88
08/02/2019;69,88;18,71
11/02/2019;69,77;18,56
12/02/2019;70,2;18,94
13/02/2019;69,88;18,62
14/02/2019;69,36;18,53
15/02/2019;68,41;18,47
18/02/2019;68,85;18,44
19/02/2019;67,45;18,2
20/02/2019;67,29;18,06
21/02/2019;66,87;17,82
22/02/2019;67,56;18,09
25/02/2019;66,91;17,9
26/02/2019;66,97;17,87
27/02/2019;64,67;17,34
28/02/2019;66,08;17,62
01/03/2019;66,47;17,61
06/03/2019;66,81;17,41
07/03/2019;67,33;17,28
08/03/2019;67,72;17,51
11/03/2019;68;17,7
12/03/2019;68,36;17,94
13/03/2019;67,6;17,76
14/03/2019;68,52;17,81
15/03/2019;69,1;18,1
18/03/2019;69,1;18,24
19/03/2019;68,1;18
20/03/2019;67,61;18,03
21/03/2019;67,34;17,75
22/03/2019;67,9;17,39
25/03/2019;67,31;17,44
26/03/2019;68,18;17,63
27/03/2019;68,05;17,23
28/03/2019;68,28;17,46
29/03/2019;68,84;17,58
01/04/2019;69,19;17,86
02/04/2019;68,53;17,77
03/04/2019;68,12;17,6
04/04/2019;67,63;17,56
05/04/2019;65,9;17,05
08/04/2019;66,2;17,21
09/04/2019;66,79;17,33
10/04/2019;66,87;17,51
11/04/2019;67,41;17,47
12/04/2019;67,82;17,45
15/04/2019;68,02;17,58
16/04/2019;68,48;17,57
17/04/2019;69,1;17,57
18/04/2019;69,79;17,76
22/04/2019;69,56;17,69
23/04/2019;69,36;17,69
24/04/2019;69,31;17,39
25/04/2019;69,86;17,67
26/04/2019;69,55;17,69
29/04/2019;70,25;17,82
30/04/2019;69,86;17,83
02/05/2019;69,84;17,64
03/05/2019;70,3;17,86
06/05/2019;70,67;17,86
07/05/2019;70,72;17,82
08/05/2019;70,63;17,98
09/05/2019;70,27;17,8
10/05/2019;70,46;17,88
13/05/2019;71,37;17,92
14/05/2019;71,08;17,89
15/05/2019;70,75;17,72
16/05/2019;70,1;17,36
17/05/2019;69,57;16,97
20/05/2019;69,77;17,01
21/05/2019;69,97;17,27
22/05/2019;68,37;16,91
23/05/2019;68,26;16,87
24/05/2019;67,58;16,84
27/05/2019;68,7;17,03
28/05/2019;66,96;16,67
29/05/2019;65,15;16,39
30/05/2019;65,79;16,55
31/05/2019;63,86;16,27
03/06/2019;63,51;16,3
04/06/2019;63,23;16,39
05/06/2019;62,93;16,14
06/06/2019;63,41;16,35
07/06/2019;63,46;16,39
10/06/2019;63,12;16,28
11/06/2019;62,5;16,25
12/06/2019;61,89;16,04
13/06/2019;62,42;16,19
14/06/2019;62,42;16,04
17/06/2019;62,92;16,13
18/06/2019;63,18;16,36
19/06/2019;63,08;16,37
21/06/2019;61,93;16,21
24/06/2019;62,74;16,41
25/06/2019;61,58;15,99
26/06/2019;61,22;15,91
27/06/2019;61,48;16,05
28/06/2019;61,45;16,02
01/07/2019;61,08;15,89
02/07/2019;61,29;15,91
03/07/2019;60,97;15,96
04/07/2019;60,76;16,02
05/07/2019;60,19;15,77
08/07/2019;59,97;15,76
10/07/2019;60,23;16,05
11/07/2019;60,46;16,12
12/07/2019;60,51;16,17
15/07/2019;60,53;16,11
16/07/2019;60,27;16,02
17/07/2019;60,12;15,99
18/07/2019;60,01;16,09
19/07/2019;59,69;15,93
22/07/2019;59,03;15,79
23/07/2019;58,58;15,53
24/07/2019;57,98;15,37
25/07/2019;57,59;15,22
26/07/2019;58,35;15,49
29/07/2019;58,81;15,56
30/07/2019;58,32;15,37
31/07/2019;58,66;15,44
01/08/2019;58,24;15,16
02/08/2019;58,51;15,07
05/08/2019;59,4;15
06/08/2019;59,44;15,03
07/08/2019;59,75;15,03
08/08/2019;59,65;15,2
09/08/2019;59,5;15,11
12/08/2019;60,47;15,2
13/08/2019;59,97;15,13
14/08/2019;60,31;14,94
15/08/2019;59,96;15,02
16/08/2019;59,87;14,97
19/08/2019;60,25;14,82
20/08/2019;60,29;14,92
21/08/2019;60,36;15
22/08/2019;59,85;14,7
23/08/2019;60,35;14,66
26/08/2019;60,85;14,66
27/08/2019;60,87;14,67
28/08/2019;60,95;14,66
29/08/2019;61,36;14,74
30/08/2019;61,26;14,83
02/09/2019;61,69;14,75
03/09/2019;61,35;14,68
04/09/2019;61,03;14,87
05/09/2019;60;14,63
06/09/2019;59,88;14,7
09/09/2019;60,42;14,75
10/09/2019;60,16;14,68
11/09/2019;60,12;14,8
12/09/2019;60,37;14,88
13/09/2019;59,99;14,66
16/09/2019;60,14;14,7
17/09/2019;60,82;14,91
18/09/2019;60,89;14,81
19/09/2019;60,48;14,55
20/09/2019;61,19;14,73
23/09/2019;61,21;14,67
24/09/2019;61,8;14,81
25/09/2019;62,13;14,95
26/09/2019;62,56;15,04
27/09/2019;62,68;15,08
